InvoiceID,Date,Product,UnitsSold,UnitPrice,TotalPrice,SalesPerson,City,Country
INV100,2024-10-16,Laptop,12,800,9600.00,Qamaan,Mogadishu,Somalia
INV101,2023-08-17,Headphones,18,50,900.00,Yusuf,Mogadishu,Somalia
INV102,2023-02-02,Laptop,12,800,9600.00,Guled,Mogadishu,Somalia
INV103,2024-06-01,Tablet,18,300,5400.00,Guled,Mogadishu,Somalia
INV104,2023-08-14,Keyboard,10,30,300.00,Yusuf,Addis Ababa,Ethiopia
INV105,2024-12-15,Keyboard,9,30,270.00,Qamaan,Addis Ababa,Ethiopia
INV106,2023-08-09,Monitor,17,150,2550.00,Yusuf,Mogadishu,Somalia
INV107,2023-04-10,Monitor,6,150,900.00,Qamaan,Addis Ababa,Ethiopia
INV108,2024-04-15,Tablet,7,300,2100.00,Guled,Mogadishu,Somalia
INV109,2024-07-19,Monitor,7,150,1050.00,Guled,Addis Ababa,Ethiopia
INV110,2023-02-16,Printer,7,200,1400.00,Qamaan,Nairobi,Kenya
INV111,2023-08-27,Laptop,19,800,15200.00,Qamaan,Kampala,Uganda
INV112,2024-10-12,Monitor,16,150,2400.00,Qamaan,Nairobi,Kenya
INV113,2023-08-03,Printer,10,200,2000.00,Yusuf,Addis Ababa,Ethiopia
INV114,2024-06-30,Printer,19,200,3800.00,Guled,Nairobi,Kenya
INV115,2024-01-24,Monitor,6,150,900.00,Qamaan,Nairobi,Kenya
INV116,2023-08-23,Laptop,13,800,10400.00,Guled,Addis Ababa,Ethiopia
INV117,2023-03-09,Headphones,20,50,1000.00,Yusuf,Addis Ababa,Ethiopia
INV118,2024-02-10,Printer,13,200,2600.00,Yusuf,Kampala,Uganda
INV119,2023-05-23,Headphones,17,50,850.00,Guled,Addis Ababa,Ethiopia
INV120,2024-01-06,Headphones,7,50,350.00,Guled,Nairobi,Kenya
INV121,2023-02-18,Laptop,18,800,14400.00,Yusuf,Nairobi,Kenya
INV122,2024-09-02,Laptop,19,800,15200.00,Guled,Kampala,Uganda
INV123,2024-06-25,Monitor,13,150,1950.00,Yusuf,Mogadishu,Somalia
INV124,2024-10-18,Monitor,18,150,2700.00,Qamaan,Mogadishu,Somalia
INV125,2023-06-11,Keyboard,10,30,300.00,Qamaan,Mogadishu,Somalia
INV126,2024-06-03,Laptop,9,800,7200.00,Yusuf,Addis Ababa,Ethiopia
INV127,2024-01-18,Headphones,20,50,1000.00,Qamaan,Mogadishu,Somalia
INV128,2023-01-20,Laptop,12,800,9600.00,Qamaan,Addis Ababa,Ethiopia
INV129,2023-03-01,Headphones,20,50,1000.00,Guled,Mogadishu,Somalia
